aah
aaaahh
aaah
argh
augh
boo
booh
boo!
oopsey
booh!
whoops
boo-hoo
bleh
whateva
boohoo
brr
brrrr
d'oh
doh
duh
eek
eeeek
eep
eh?
eh?
eww
ewww
yuck
ick
fuff
gah
grrr
grrrr
humph
harumph
hehe
bahaha
ich
yak
please
meh
grmbl
muahaha
mwahaha
bwahaha
m-wah
nah
nuh-uh
nuh-hu
nu-huh
oomph
umph
oops
ouch
yeow
oww
oyh
oy vay
pew
pee-yew
pff
pffh
pssh
pfft
sheesh
shh
hush
shush
shoo
tsk-tsk
tut-tut
uh-oh
oh-oh
uh-uh
unh-unh
unh-uh
umm
uhh
ummm
waah
waaaaah
wee
whee
weee
yikes
blech
made day
