absolutely
aces
ahoy
a'ight
alakazam
aloha
alright
alrighty
alrighty-roo
amen
anytime
attaboy
attagirl
au revoir
ay
aye
banzai
bingo
bon
bless you
bullseye
by golly
cheerio
tallyho
cheers
cheer up
chin-chin
chin up
ciao
dayee
encore
eureka
felicitations
g'day
gee
gee whiz
gesundheit
good golly
good job
hallelujah
hee
ho-ho
hubba-hubba
hurray
huzza
la-di-dah
friend
namaste
nom nom
okey-dokey
ola
oyez
presto
psst
right-o
roger
see ya
shazaam
sup
ta-da
ta ta
yahoo
thanks
toodles
touché
thnx
up top
va-va-voom
zowie
viva
voila
vroom
wahoo
whoopee
whoopsey
whew
wuzzup
xiexie
ya
yea
yeah
yippee
yoo-hoo
yum
yummy
yu-huh
yuh-hu
yeehaw
yoohoo
