angrier
worse
bigger
bitterer
blacker
blander
bloodier
bluer
bolder
bossier
braver
briefer
brighter
broader
busier
calmer
cheaper
chewier
chubbier
classier
cleaner
clear
cleverer
closer
cloudier
clumsier
coarser
colder
cooler
crazier
creamier
creepier
crispier
crueller
crunchier
curly
curvier
cuter
damper
darker
deadlier
deeper
denser
dirtier
drier
duller
dumber
dustier
earlier
easier
fainter
fairer
fancier
further/farther
faster
fatter
fewer
fiercer
filthier
finer
firmer
fitter
flakier
flatter
fresher
friendlier
fuller
funnier
gentler
gloomier
better
grander
graver
greasier
greater
greedier
grosser
guilter
hairier
handier
happier
harder
harsher
healthier
heavier
higher
hipper
hotter
humbler
hungrier
icier
itchier
juicier
kinder
larger
later
lazier
lighter
likelier
littler
livelier
lonlier
longer
louder
lovelier
lower
madder
meaner
messier
milder
moister
narrower
nastier
naughtier
nearer
neater
needier
newer
nicer
noisier
odder
oilier
older/elder
plainer
politer
poorer
prettier
prouder
purer
quicker
quieter
rarer
rawer
richer
riper
riskier
roomier
rougher
ruder
rustier
sadder
safer
saltier
saner
scarier
shallower
sharper
shinier
shorter
shyer
sillier
simpler
sincerer
skinnier
sleepier
slimmer
slimier
slower
smaller
smarter
smellier
smokier
smoother
softer
sooner
sorer
sorrier
sourer
spicier
steeper
stingier
stranger
stricter
stronger
sunnier
sweatier
sweeter
taller
tanner
tastier
thicker
thinner
thirstier
tinier
tougher
truer
uglier
warmer
weaker
wealthier
weirder
wetter
wider
wilder
windier
wiser
worldlier
worthier
younger
